Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,stratification,0.9,30,0.305,6.453333,0.0,0.046997,0.386639,0.648042,0.61,0.38,0.587,0.481456
mixed_CS=T,stratification,0.9,50,0.305,5.32,0.0,0.025041,0.340882,0.162874,0.643333,0.29,0.608,0.431934
Unlu_CS=T,stratification,0.9,50,0.305,9.413333,0.0,0.042893,0.288705,0.606187,0.74,0.36,0.702,0.51614
mixed_CS=T,stratification,0.9,80,0.305,8.85,0.0,0.073939,0.467163,0.180604,0.607778,0.4,0.587,0.493063
Unlu_CS=T,stratification,0.9,80,0.305,16.438127,0.003333,0.059008,0.228705,0.549842,0.777778,0.23,0.723,0.422953
mixed_CS=T,stratification,0.9,30,0.38,5.806667,0.0,0.03124,0.331433,0.154384,0.688889,0.33,0.653,0.476795
Unlu_CS=T,stratification,0.9,30,0.38,6.383333,0.0,0.016804,0.272948,0.541467,0.778889,0.24,0.725,0.432358
mixed_CS=T,stratification,0.9,50,0.38,3.936667,0.0,0.025344,0.407438,0.160026,0.634444,0.52,0.623,0.574379
Unlu_CS=T,stratification,0.9,50,0.38,11.906355,0.003333,0.029091,0.237631,0.528695,0.778889,0.27,0.728,0.458585
mixed_CS=T,stratification,0.9,80,0.38,6.3,0.0,0.023361,0.356722,0.165396,0.682222,0.37,0.651,0.502416
Unlu_CS=T,stratification,0.9,80,0.38,38.088803,0.136667,0.037906,0.127328,0.417431,0.895556,0.25,0.831,0.473169
mixed_CS=T,stratification,0.9,30,0.455,3.833333,0.0,0.021818,0.374325,0.168066,0.625556,0.42,0.605,0.512575
Unlu_CS=T,stratification,0.9,30,0.455,13.11,0.0,0.045592,0.261928,0.557427,0.801111,0.16,0.737,0.358019
mixed_CS=T,stratification,0.9,50,0.455,5.936667,0.0,0.05124,0.563719,0.152009,0.694444,0.51,0.676,0.595119
Unlu_CS=T,stratification,0.9,50,0.455,34.707904,0.03,0.052645,0.150303,0.44179,0.903333,0.13,0.826,0.342685
mixed_CS=T,stratification,0.9,80,0.455,7.85,0.0,0.087824,0.570275,0.161147,0.624444,0.6,0.622,0.6121
Unlu_CS=T,stratification,0.9,80,0.455,54.802817,0.29,0.029807,0.072204,0.343242,0.957778,0.08,0.87,0.276807
mixed_CS=T,stratification,0.9,30,0.53,10.053333,0.0,0.040689,0.381901,0.151831,0.703333,0.35,0.668,0.496152
Unlu_CS=T,stratification,0.9,30,0.53,30.891156,0.02,0.035923,0.181625,0.429448,0.898889,0.23,0.832,0.454692
mixed_CS=T,stratification,0.9,50,0.53,9.61,0.0,0.067686,0.452562,0.159968,0.673333,0.4,0.646,0.518973
Unlu_CS=T,stratification,0.9,50,0.53,44.345865,0.113333,0.019421,0.091102,0.351495,0.973333,0.08,0.884,0.279046
mixed_CS=T,stratification,0.9,80,0.53,6.146667,0.0,0.030799,0.575317,0.206777,0.594444,0.57,0.592,0.582094
Unlu_CS=T,stratification,0.9,80,0.53,39.232472,0.096667,0.027686,0.119339,0.354919,0.956667,0.11,0.872,0.324397
mixed_CS=T,stratification,0.9,30,0.605,6.583333,0.0,0.021598,0.239256,0.142426,0.835556,0.16,0.768,0.365635
Unlu_CS=T,stratification,0.9,30,0.605,32.713333,0.0,0.039945,0.227658,0.390156,0.931111,0.13,0.851,0.347914
