Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,uptrend,0.95,80,1.055,7.546667,0.0,0.945895,0.945895,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,1.055,45.926667,0.0,0.628705,0.628705,0.239383,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,30,1.13,5.493333,0.0,0.962865,0.962865,3e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,1.13,22.883333,0.0,0.808182,0.819008,0.53347,1.0,0.34,0.967,0.583095
mixed_CS=T,uptrend,0.95,50,1.13,6.13,0.0,0.957603,0.957603,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,1.13,24.38,0.0,0.80135,0.806722,0.342454,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,80,1.13,7.87,0.0,0.940083,0.943196,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,1.13,49.2,0.0,0.601653,0.601653,0.28663,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,30,1.205,4.84,0.0,0.968264,0.968264,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,1.205,17.346667,0.0,0.841736,0.864545,0.352353,1.0,0.54,0.977,0.734847
