Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,cyclic,0.950000,80,1.505000,38.383333,0.000000,0.491129,0.679339,0.128487,1.000000,0.480000,0.974000,0.692820
mixed_CS=T,cyclic,0.950000,30,1.580000,7.670000,0.000000,0.501791,0.923168,0.034070,0.976842,0.880000,0.972000,0.927158
Unlu_CS=T,cyclic,0.950000,30,1.580000,16.723333,0.000000,0.549008,0.843251,0.100503,0.997895,0.560000,0.976000,0.747543
mixed_CS=T,cyclic,0.950000,50,1.580000,10.026667,0.000000,0.449504,0.908209,0.017567,0.983158,0.960000,0.982000,0.971510
Unlu_CS=T,cyclic,0.950000,50,1.580000,22.826667,0.000000,0.602231,0.812066,0.098600,0.998947,0.640000,0.981000,0.799579
mixed_CS=T,cyclic,0.950000,80,1.580000,10.083333,0.000000,0.020689,0.527548,0.008475,0.986316,1.000000,0.987000,0.993134
Unlu_CS=T,cyclic,0.950000,80,1.580000,29.833333,0.000000,0.313030,0.737245,0.083341,1.000000,0.660000,0.983000,0.812404
mixed_CS=T,cyclic,0.950000,30,1.655000,7.773333,0.000000,0.600358,0.929807,0.039515,0.973684,0.800000,0.965000,0.882580
Unlu_CS=T,cyclic,0.950000,30,1.655000,17.183333,0.000000,0.377493,0.838017,0.170341,1.000000,0.400000,0.970000,0.632456
mixed_CS=T,cyclic,0.950000,50,1.655000,8.423333,0.000000,0.325510,0.912672,0.022682,0.966316,1.000000,0.968000,0.983014
Unlu_CS=T,cyclic,0.950000,50,1.655000,22.083333,0.000000,0.614683,0.819945,0.107205,1.000000,0.600000,0.980000,0.774597
mixed_CS=T,cyclic,0.950000,80,1.655000,11.660000,0.000000,0.021074,0.434160,0.003926,0.996842,1.000000,0.997000,0.998420
Unlu_CS=T,cyclic,0.950000,80,1.655000,39.666667,0.000000,0.389394,0.670110,0.102459,0.998947,0.560000,0.977000,0.747938
mixed_CS=T,cyclic,0.950000,30,1.730000,7.470000,0.000000,0.583333,0.933058,0.041701,0.981053,0.880000,0.976000,0.929154
Unlu_CS=T,cyclic,0.950000,30,1.730000,16.606667,0.000000,0.619614,0.855950,0.094329,1.000000,0.600000,0.980000,0.774597
mixed_CS=T,cyclic,0.950000,50,1.730000,8.893333,0.000000,0.637631,0.925785,0.015259,0.988421,0.980000,0.988000,0.984201
Unlu_CS=T,cyclic,0.950000,50,1.730000,27.693333,0.000000,0.589229,0.772727,0.135549,1.000000,0.560000,0.978000,0.748331
mixed_CS=T,cyclic,0.950000,80,1.730000,12.796667,0.000000,0.025785,0.560193,0.002165,0.996842,1.000000,0.997000,0.998420
Unlu_CS=T,cyclic,0.950000,80,1.730000,42.963333,0.000000,0.388237,0.639366,0.129438,1.000000,0.520000,0.976000,0.721110
mixed_CS=T,cyclic,0.950000,30,1.805000,7.053333,0.000000,0.716667,0.942287,0.033996,0.985263,0.860000,0.979000,0.920503
Unlu_CS=T,cyclic,0.950000,30,1.805000,16.256667,0.000000,0.567190,0.858182,0.145314,1.000000,0.520000,0.976000,0.721110
mixed_CS=T,cyclic,0.950000,50,1.805000,8.486667,0.000000,0.670496,0.930358,0.012187,0.983158,0.980000,0.983000,0.981578
Unlu_CS=T,cyclic,0.950000,50,1.805000,26.566667,0.000000,0.486997,0.776722,0.106048,0.998947,0.620000,0.980000,0.786986
mixed_CS=T,cyclic,0.950000,80,1.805000,10.626667,0.000000,0.018788,0.821818,0.004780,0.992632,1.000000,0.993000,0.996309
Unlu_CS=T,cyclic,0.950000,80,1.805000,39.036667,0.000000,0.490523,0.677245,0.108804,1.000000,0.600000,0.980000,0.774597
mixed_CS=T,cyclic,0.900000,30,0.005000,5.833333,0.000000,0.053251,0.391515,0.169543,0.575556,0.380000,0.556000,0.467666
Unlu_CS=T,cyclic,0.900000,30,0.005000,14.800000,0.000000,0.068540,0.307135,0.685904,0.655556,0.230000,0.613000,0.388301
mixed_CS=T,cyclic,0.900000,50,0.005000,3.283333,0.000000,0.049862,0.531901,0.175157,0.445556,0.480000,0.449000,0.462457
Unlu_CS=T,cyclic,0.900000,50,0.005000,14.736667,0.000000,0.053884,0.236722,0.680472,0.755556,0.220000,0.702000,0.407704
mixed_CS=T,cyclic,0.900000,80,0.005000,2.980000,0.000000,0.071543,0.591102,0.177645,0.423333,0.580000,0.439000,0.495513
Unlu_CS=T,cyclic,0.900000,80,0.005000,5.926667,0.000000,0.045344,0.465289,0.684999,0.505556,0.440000,0.499000,0.471640
mixed_CS=T,cyclic,0.900000,30,0.080000,9.570000,0.000000,0.078072,0.403526,0.163943,0.597778,0.420000,0.580000,0.501065
Unlu_CS=T,cyclic,0.900000,30,0.080000,5.373333,0.000000,0.055234,0.437190,0.680175,0.560000,0.530000,0.557000,0.544794
mixed_CS=T,cyclic,0.900000,50,0.080000,6.340000,0.000000,0.028733,0.323278,0.166182,0.696667,0.390000,0.666000,0.521249
Unlu_CS=T,cyclic,0.900000,50,0.080000,4.616667,0.000000,0.050634,0.440220,0.678794,0.561111,0.460000,0.551000,0.508046
mixed_CS=T,cyclic,0.900000,80,0.080000,3.946667,0.000000,0.050606,0.481543,0.174037,0.506667,0.470000,0.503000,0.487989
Unlu_CS=T,cyclic,0.900000,80,0.080000,13.026756,0.003333,0.054848,0.363278,0.652330,0.635556,0.340000,0.606000,0.464854
